order_id,order_date,region,product,customer,quantity,unit_price,revenue
1001,2024-01-05,North,Widget A,Acme Corp,10,25.0,250.0
1002,2024-01-08,South,Widget B,Globex Inc,5,40.0,200.0
1003,2024-01-12,East,Widget A,Initech,20,25.0,500.0
1004,2024-01-15,West,Widget C,Umbrella LLC,8,60.0,480.0
1005,2024-01-20,North,Widget B,Acme Corp,12,40.0,480.0
1006,2024-02-02,South,Widget A,Soylent Co,15,25.0,375.0
1007,2024-02-06,East,Widget C,Initech,6,60.0,360.0
1008,2024-02-10,West,Widget A,Umbrella LLC,25,25.0,625.0
1009,2024-02-14,North,Widget C,Stark Industries,3,60.0,180.0
1010,2024-02-18,South,Widget B,Globex Inc,9,40.0,360.0
1011,2024-03-01,East,Widget A,Initech,18,25.0,450.0
1012,2024-03-05,West,Widget B,Umbrella LLC,7,40.0,280.0
1013,2024-03-09,North,Widget A,Acme Corp,500,25.0,12500.0
1014,2024-03-14,South,Widget C,Soylent Co,4,60.0,240.0
1015,2024-03-18,East,Widget B,Initech,11,40.0,440.0
1016,2024-03-22,West,Widget A,Umbrella LLC,14,25.0,350.0
1017,2024-04-02,North,Widget B,Stark Industries,6,40.0,240.0
1018,2024-04-06,South,Widget A,Globex Inc,22,25.0,550.0
1019,2024-04-10,East,Widget C,Initech,9,60.0,540.0
1020,2024-04-15,West,Widget B,Umbrella LLC,13,40.0,520.0
